GLG_Player,GLG_Tm,GLG_Age,GLG_G,GLG_MP,GLG_PER,GLG_TS%,GLG_3PAr,GLG_FTr,GLG_ORB%,GLG_DRB%,GLG_TRB%,GLG_AST%,GLG_STL%,GLG_BLK%,GLG_TOV%,GLG_USG%,GLG_Ws-dum,GLG_OWS,GLG_DWS,GLG_WS,GLG_WS/48,GLG_Bpm-dum,GLG_OBPM,GLG_DBPM,GLG_BPM,GLG_VORP
Stephen Croon,SF,,3,22,4.5,0.385,0.667,1.167,4.8,9.6,7.2,5.6,2.1,0.0,9.9,18.7,,0.0,0.0,0.0,-0.030,,,,,
Markeith Cumming,SF,28,7,62,6.1,0.571,0.357,0.143,3.4,8.5,5.9,0.0,1.5,1.3,16.8,11.7,,0.0,0.1,0.0,0.038,,,,,
Boris Dall,LI,22,46,1082,9.2,0.489,0.277,0.229,3.3,16.5,9.6,23.2,1.5,0.1,26.0,18.6,,-1.3,0.9,-0.5,-0.020,,,,,
Alex Davi,NA,25,23,560,12.5,0.524,0.096,0.471,8.9,12.9,10.8,5.9,1.6,6.5,16.7,14.8,,0.2,0.9,1.1,0.092,,,,,
Alex Davi,ER,25,28,696,11.0,0.535,0.142,0.466,7.4,14.2,10.7,5.1,1.1,4.2,16.2,15.9,,0.1,0.6,0.8,0.053,,,,,
Alex Davi,TOT,25,51,1256,11.7,0.530,0.122,0.468,8.1,13.6,10.8,5.5,1.3,5.2,16.4,15.4,,0.3,1.5,1.8,0.071,,,,,
Deyonta Davi,IO,,11,306,18.7,0.558,0.000,0.090,11.2,21.2,16.2,2.7,1.6,6.9,8.0,15.7,,0.4,0.5,0.9,0.141,,,,,
Mike Davi,WE,28,24,312,14.4,0.592,0.013,0.195,8.7,16.6,12.6,7.1,1.2,2.2,9.7,12.7,,0.6,0.3,0.8,0.126,,,,,
Trey Davi,CA,23,1,19,-5.4,0.000,0.333,0.000,0.0,5.9,2.9,12.5,0.0,0.0,25.0,8.9,,-0.1,0.0,-0.1,-0.171,,,,,
Player,Tm,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ws-dum,OWS,DWS,WS,WS/48,Bpm-dum,OBPM,DBPM,BPM,VORP
Will Davi,RE,24,42,763,21.6,0.636,0.000,0.264,12.0,14.0,13.0,3.5,0.7,5.5,9.1,19.6,,2.1,0.7,2.8,0.174,,,,,
Andre Dawkin,TOT,25,42,956,13.9,0.589,0.687,0.129,2.1,9.2,5.6,5.6,1.3,0.4,8.0,20.0,,1.5,0.3,1.8,0.089,,,,,
Andre Dawkin,TE,25,28,653,15.5,0.620,0.694,0.122,2.4,10.5,6.4,4.7,1.4,0.6,8.7,20.0,,1.3,0.2,1.4,0.106,,,,,
