Rk,NBA_Player,Pos,NBA_Age,NBA_Tm,NBA_G,NBA_MP,NBA_PER,NBA_TS%,NBA_3PAr,NBA_FTr,NBA_ORB%,NBA_DRB%,NBA_TRB%,NBA_AST%,NBA_STL%,NBA_BLK%,NBA_TOV%,NBA_USG%,,NBA_OWS,NBA_DWS,NBA_WS,NBA_WS/48,,NBA_OBPM,NBA_DBPM,NBA_BPM,NBA_VORP
87,Tyler Cavanaugh\cavanty01,PF,23,ATL,30,413,14.5,0.603,0.612,0.147,9.2,18.0,13.6,9.1,1.1,0.6,8.2,14.3,,0.9,0.3,1.2,0.136,,1.8,-1.4,0.4,0.2
88,Mario Chalmers\chalmma01,PG,31,MEM,44,999,10.9,0.490,0.428,0.309,1.0,13.4,7.2,21.7,2.9,0.8,16.5,19.3,,-0.3,1.1,0.8,0.041,,-1.9,0.2,-1.7,0.1
89,Tyson Chandler\chandty01,C,35,PHO,36,909,14.0,0.637,0.000,0.527,12.8,28.2,20.4,6.0,0.7,1.9,20.7,10.6,,1.4,0.7,2.1,0.111,,-1.3,1.0,-0.4,0.4
90,Wilson Chandler\chandwi01,SF,30,DEN,44,1366,9.9,0.521,0.383,0.206,5.3,14.1,9.7,9.3,0.8,1.3,14.4,14.6,,0.7,0.9,1.6,0.054,,-1.4,-0.2,-1.6,0.1
91,Marquese Chriss\chrisma01,PF,20,PHO,43,910,10.5,0.494,0.434,0.298,4.8,20.7,12.6,8.8,1.6,3.8,14.9,16.8,,-0.3,0.9,0.6,0.031,,-2.7,1.5,-1.2,0.2
92,Ian Clark\clarkia01,SG,26,NOP,42,670,7.7,0.493,0.483,0.156,0.9,8.6,4.9,10.4,1.0,0.6,9.1,15.8,,0.0,0.3,0.2,0.017,,-2.6,-2.4,-5.1,-0.5
93,Jordan Clarkson\clarkjo01,SG,25,LAL,48,1133,17.6,0.534,0.306,0.194,3.8,9.5,6.7,23.6,1.5,0.1,11.1,27.3,,1.3,0.8,2.1,0.090,,1.5,-2.3,-0.8,0.4
94,Gian Clavell\clavegi01,SG,24,DAL,7,64,7.6,0.530,0.833,0.111,1.7,10.8,6.1,6.8,1.6,0.0,9.6,15.0,,0.0,0.0,0.1,0.043,,-1.3,-1.8,-3.2,0.0
95,Antonius Cleveland\clevean01,SG,23,DAL,13,81,5.2,0.317,0.071,0.286,2.7,11.4,6.9,3.3,3.7,4.5,11.3,10.0,,-0.1,0.1,0.0,-0.004,,-7.2,4.6,-2.6,0.0
96,John Collins\collijo01,PF,20,ATL,42,933,21.1,0.625,0.042,0.370,14.3,22.2,18.2,8.0,1.4,4.5,13.3,19.4,,2.4,1.1,3.5,0.178,,0.9,1.4,2.3,1.0
